,CPC_flowA,CPC_flowB,CPC_pressure,USI_flow,USI_pressure,bias_flow
2023/01/31 22:20:31,33.0,0.0,24.42,0.0,25.39,100.0
2023/01/31 22:21:31,33.0,0.0,24.42,0.0,25.39,100.0
2023/01/31 22:22:01,21.0,0.0,24.412,0.0,25.39,100.0
2023/01/31 22:22:32,21.0,0.0,24.424,0.0,25.39,100.0
2023/01/31 22:23:31,21.0,0.0,24.416,0.0,25.39,100.0
2023/01/31 22:24:01,21.0,0.0,24.416,0.0,25.39,100.0
2023/01/31 22:24:32,3.0,0.0,24.428,0.0,25.39,100.0
2023/01/31 22:29:40,15.0,0.0,24.412,0.0,25.39,100.0
2023/01/31 22:30:31,24.0,0.0,24.42,0.0,25.39,100.0
2023/01/31 22:31:01,24.0,0.0,24.42,0.0,25.39,100.0
2023/01/31 22:31:32,24.0,0.0,24.424,0.0,25.39,100.0
2023/01/31 22:32:31,0.0,0.0,24.424,0.0,25.39,0.0
2023/01/31 22:33:02,0.0,0.0,24.424,0.0,25.39,0.0
2023/01/31 22:33:32,27.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:34:31,0.0,0.0,24.424,0.0,25.39,100.0
2023/01/31 22:35:02,0.0,0.0,24.424,0.0,25.39,100.0
2023/01/31 22:35:32,0.0,0.0,24.424,0.0,25.39,0.0
2023/01/31 22:36:31,3.0,0.0,24.424,0.0,25.39,100.0
2023/01/31 22:37:31,36.0,0.0,24.424,0.0,25.39,100.0
2023/01/31 22:38:01,36.0,0.0,24.424,0.0,25.39,100.0
2023/01/31 22:38:31,24.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:39:31,24.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:40:01,24.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:40:31,0.0,0.0,24.424,0.0,25.38,0.0
2023/01/31 22:41:31,0.0,0.0,24.412,0.0,25.38,0.0
2023/01/31 22:42:01,0.0,0.0,24.412,0.0,25.38,0.0
2023/01/31 22:42:31,21.0,0.0,24.408,0.0,25.38,100.0
2023/01/31 22:43:31,45.0,0.0,24.416,0.0,25.38,100.0
2023/01/31 22:44:01,45.0,0.0,24.416,0.0,25.38,100.0
2023/01/31 22:44:31,21.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:45:31,0.0,0.0,24.424,0.0,25.38,0.0
2023/01/31 22:46:01,0.0,0.0,24.424,0.0,25.38,0.0
2023/01/31 22:46:32,0.0,0.0,24.42,0.0,25.38,0.0
2023/01/31 22:47:31,9.0,0.0,24.42,0.0,25.38,100.0
2023/01/31 22:48:01,9.0,0.0,24.42,0.0,25.38,100.0
2023/01/31 22:48:32,0.0,0.0,24.424,0.0,25.38,0.0
2023/01/31 22:49:31,0.0,0.0,24.424,0.0,25.38,0.0
2023/01/31 22:50:01,0.0,0.0,24.424,0.0,25.38,0.0
2023/01/31 22:50:32,18.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:51:31,9.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:52:02,9.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:52:32,9.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:53:31,30.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:54:01,30.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:54:32,48.0,0.0,24.42,0.0,25.38,100.0
2023/01/31 22:55:31,42.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:56:02,42.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:56:32,21.0,0.0,24.424,0.0,25.37,100.0
2023/01/31 22:57:31,21.0,0.0,24.424,0.0,25.38,100.0
2023/01/31 22:58:31,51.0,0.0,24.424,0.0,25.37,100.0
2023/01/31 22:59:01,51.0,0.0,24.424,0.0,25.37,100.0
2023/01/31 22:59:31,39.0,0.0,24.424,0.0,25.37,100.0
2023/01/31 23:00:31,21.0,0.0,24.432,0.0,25.37,100.0
2023/01/31 23:01:01,21.0,0.0,24.432,0.0,25.37,100.0
2023/01/31 23:01:32,24.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:02:31,15.0,0.0,24.424,0.0,25.37,100.0
2023/01/31 23:03:01,15.0,0.0,24.424,0.0,25.37,100.0
2023/01/31 23:03:32,0.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:04:31,3.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:05:01,3.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:05:32,18.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:06:31,24.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:07:02,24.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:07:32,24.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:08:31,36.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:09:02,36.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:09:32,12.0,0.0,24.424,0.0,25.37,100.0
2023/01/31 23:10:31,51.0,0.0,24.432,0.0,25.37,100.0
2023/01/31 23:11:31,33.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:12:01,33.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:12:32,30.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:13:31,42.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:14:01,42.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:14:32,0.0,0.0,24.44,0.0,25.37,0.0
2023/01/31 23:15:31,3.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:16:01,3.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:16:32,3.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:17:31,0.0,0.0,24.436,0.0,25.37,0.0
2023/01/31 23:18:01,0.0,0.0,24.436,0.0,25.37,0.0
2023/01/31 23:18:32,24.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:19:31,0.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:20:01,0.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:20:32,0.0,0.0,24.436,0.0,25.37,0.0
2023/01/31 23:21:31,42.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:22:01,42.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:22:32,27.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:23:31,33.0,0.0,24.436,0.0,25.36,100.0
2023/01/31 23:24:02,33.0,0.0,24.436,0.0,25.36,100.0
